SITE,SECTORID,RECOMMENDATION_TYPE,COST,PRIORITY,CLUSTERID,CLUSTER_LEVEL,GROUP_ID,IMPLEMENTATION_DATE
25077132249,15,Entrance L2100,139159.91,3,55473965,YES,2,43
25077132250,285,Entrance L2100,88686.38,3,55473966,YES,2,50
25077132250,5,Entrance L2100,56573.88,3,55473966,YES,2,50
25077132251,15,Entrance L2100,38111.93,3,55473965,YES,2,43
25077132252,170,Entrance L2100,91048.41,3,55473965,YES,2,43
25077132252,20,Entrance L2100,132995.7,3,55473965,YES,2,43
25077132252,280,Entrance L2100,128770.84,3,55473965,YES,2,43
25077132253,110,Entrance L2100,25876.65,3,55473965,YES,2,43
25077132253,290,Entrance L2100,17430.83,3,55473965,YES,2,43
25077132254,100,Entrance L2100,112394.8,3,55473965,YES,2,43
25077132261,150,Entrance L2100,96587.91,3,55473965,YES,2,43
25077132261,260,Entrance L2100,53538.95,3,55473965,YES,2,43
25077132261,340,Entrance L2100,126056.19,3,55473965,YES,2,43
25077132264,190,Entrance L2100,158159.98,3,55473966,YES,2,50
25077132264,20,Entrance L2100,76976.21,3,55473966,YES,2,50
25077132264,290,Entrance L2100,86924.36,3,55473966,YES,2,50
25077132269,170,Refarming L1800,16554.85,1,55473965,YES,1,41
25077132269,250,Refarming L1800,69409.6,1,55473965,YES,1,41
25077132269,30,Refarming L1800,38592.31,1,55473965,YES,1,41
25077132271,230,Entrance L2100,47470.64,3,55473965,YES,2,43
25077132274,170,Entrance L2100,109547.41,3,55473965,YES,2,43
25077132281,260,Entrance L2100,51036.66,3,55473965,YES,2,43
25077132281,55,Entrance L2100,90966.74,3,55473965,YES,2,43
25077132284,150,Entrance L2100,98992.19,3,55473965,YES,2,43
25077132284,315,Entrance L2100,97008.91,3,55473965,YES,2,43
25077132284,45,Entrance L2100,45439.87,3,55473965,YES,2,43
25077132286,260,Entrance L2100,74839.78,3,55473965,YES,2,43
25077132287,90,Entrance L2100,41105.77,3,55473965,YES,2,43
25077132291,180,Entrance L2100,48508.66,3,55473965,YES,2,43
25077132291,280,Entrance L2100,93714.95,3,55473965,YES,2,43
25077132291,50,Entrance L2100,130371.08,3,55473965,YES,2,43
25077132294,40,Entrance L2100,64614.61,3,55473965,YES,2,43
25077132295,185,Entrance L2100,41765.01,3,55473965,YES,2,43
25077132295,275,Entrance L2100,94325.53,3,55473965,YES,2,43
25077132295,5,Entrance L2100,48838.69,3,55473965,YES,2,43
25077132297,275,Entrance L2100,134725.55,3,55473965,YES,2,43
25077132297,75,Entrance L2100,60222.08,3,55473965,YES,2,43
25077132299,125,Refarming L1800,18523.08,1,55473930,YES,1,48
25077132299,270,Refarming L1800,24036.26,1,55473930,YES,1,48
25077132300,290,Entrance L2100,66693.74,3,55473965,YES,2,43
25077132301,100,Entrance L2100,67181.4,3,55473965,YES,2,43
25077132304,100,Refarming L1800,74543.22,1,55473965,YES,1,41
25077132304,350,Refarming L1800,86454.84,1,55473965,YES,1,41
25077132304,100,Entrance L2100,74543.22,3,55473965,YES,2,43
25077132305,220,Entrance L2100,83281.71,3,55473965,YES,2,43
25077132305,30,Entrance L2100,96188.36,3,55473965,YES,2,43
25077132306,200,Entrance L2100,86280.94,3,55473965,YES,2,43
25077132309,250,Entrance L2100,86730.05,3,55473966,YES,2,50
25077132311,170,Entrance L2100,69282.4,3,55473965,YES,2,43
25077132312,35,Entrance L2100,65057.57,3,55473965,YES,2,43
25077132316,130,Entrance L2100,30953.65,3,55473965,YES,2,43
